Investor name,Website,Global HQ,Investment thesis,Investor type,Preferred Stages,Cheque Min,Cheque Max
Colle Capital Partners,https://colle.vc,"55 Hudson Yards, New York, NY 10001, United States","We invest in Logistics, Healthcare and FinTech, but remain opportunistic in our approach. 

Colle Capital Partners is a global, opportunistic, early stage technology venture fund. Managers have completed deals in various verticals and across all capital structures. While we tend to gravitate towards Logistics, Healthcare and FinTech, we remain opportunistic in our approach. We pay special attention to data. Virtually all our deals have an intrinsic relationship with data as we believe the ability to isolate, utilize and act upon the best possible information is the foundation of success.

We prefer to step in early in the lifecycle of a company and help teams achieve their goals by assisting with all critical tasks that young startups require. We invest in people. Our mission is to identify and back teams that not only demonstrate intellect and passion but are also agile in their thinking and execution. We seek organizations that operate with a clear focus on sustainability in every dimension: business practices, unit economics and environmental impact.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",500000,2000000
No Such Ventures,https://www.nosuchventures.com,"Mr. Treublaan 3, 1097 DP Amsterdam, Netherlands","We invest in global companies that value our model of combining many high-profile entrepreneurs within one line in the cap table, managed by us.

We disrupt the venture capital landscape, offering flexible deal structures and hassle-free equity investments on a per-deal basis.

Backed by an engaged and ever-growing network of high-profile investors, entrepreneurs and industry experts, No Such Ventures invests €2m to €8m in ambitious growth companies, globally and across sectors.",VC,"['Early Revenue', 'Scaling', 'Growth']",2500000,10000000
Gamerforce Ventures,https://www.gamerforce.vc,Singapore,"We invest in esports, gaming with a primary focus on platforms and software that can scale across leagues, games and teams. Most of our investments tend to have a B2B focus.",VC,"['Early Revenue', 'Scaling']",50000,250000
TRGC,https://trgc.io/,"Blackburn Highway, PO BOX 116, Road Town TorTola, British Virgin Islands",We invest in Blockchain-based startups on a global scale solving critical friction points in the DLT industry.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,1000000
Pesu Venture Labs,https://pesuventurelabs.com/#/,"12th Floor CIE Office, B Block PES University, Outer Ring Road, Bengaluru, Karnataka 560085, IN",We invest in B2B SAAS based companies with deeptech as a differentiator with special focus on Student lead startups,Startup studio,['Idea or Patent'],100000,200000
Systema VC,https://systema.vc,London,"We invest in Fintech, Legaltech and HRtech wordlwide",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,500000
TA Ventures,https://taventures.vc/,"Creative States Arsenal Kyiv, UA","We invest in startups in Europe and North America at (Pre-)Seed and Series A, alongside high-profile co-investors, across a wide range of tech sectors. We prefer sectors such as Enterprise Software, Consumer, Mobility and Digital Health.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",100000,500000
SuperCharger Ventures,https://www.superchargerventures.com/,"London, UK","We invest in EdTech companies globally, in all verticals. Our 12-week accelerator program helps Seed / Series A companies scale and expand globally.","Incubator, Accelerator","['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,150000
Dexter Angels,https://www.dexterangels.com,"Mumbai, Maharashtra 400070, IN",We invest in early-stage Indian startups.,Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,100000
Innopact,https://www.innopact.vc/,Singapore,"We invest in audacious entrepreneurs driving high-impact technology innovation across emerging markets. 

The biggest venture returns in the next decade will come from relentless innovation in business models - to successfully target underserved customers at scale.

Innopact is an angel syndicate dedicated to capturing the 'emergent consumer' technology opportunity across emerging markets. We are
- technology-centric
- sector-agnostic
- entrepreneur-focused
- partners - not just investors
As early-stage investors, our approach is simple = find and win early-stage deals where there's a Large space x Great team x Right timing x 100x impact potential",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,300000
Rally Cap Ventures,https://rallycapventures.com/,"San Francisco, CA","We invest in fintech infrastructure, mostly B2B APIs",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,300000
Wavelaunch VC,https://wavelaunch.org/,"Office 211, Sector 27, Gurugram, Haryana, India PIN - 122009","We invest in founders and entrepreneurs who are just getting started; whether it’s pre-seed, seed, or Series A. We prefer to invest in finance, education, healthcare, space innovation, and consumer-centric startups.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",25000,500000
Forster Chase Ventures,https://www.forsterchase.com/ventures-1,"Hamilton House,  1 Temple Avenue,  Blackfriars, EC4Y 0HA","We invest in businesses with three things: the right strategy, capital and talent. As such we have put together an all-encompassing one-stop shop where businesses can be nurtured and fostered towards full maturity.

The type of businesses we would be keen to work with are similar to ours – agile, entrepreneurial and with a management team that is open to strategic advice from experienced industry C level executives and non-executives.
We also tend to work with capital intensive businesses within the Financial Services and Tech industries, particularly Insuretech, Fintech, Medtech and SAAS.

Unlike other business incubators or venture partners, we have a panel of extremely successful entrepreneurs and CEOs with a plethora of experience. When you work with us, you will be assigned one of the panel members to work with and they will both advise you on any specific processes such as fundraising, management buy-in and also become a board member.","Incubator, Accelerator","['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,4000000
Secure Octane Investments,https://www.secureoctane.com/,"San Francisco, CA, USA","We invest in cybersecurity, data / ML and cloud infrastructure.",VC,"['Prototype', 'Early Revenue', 'Scaling']",200000,500000
Henkel Ventures,https://www.henkel-ventures.com/,"Düsseldorf, Nordrhein-Westfalen, Germany","We invest in New Engineered Materials, Smart Surfaces, Automated Manufacturing Equipment, Circular Economy, Advanced Packaging, Predictive Maintenance, Circular Economy, Data-driven Business Models, Design and Engineering Service, 3D Printing, Printed Electronics",Corporate VC,"['Prototype', 'Early Revenue', 'Scaling', 'Growth']",1000000,5000000
Horseshoe Capital,https://horseshoe.vc,"Los Angeles, CA",We invest in early-stage web3-focused startups.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,250000
500 Global,https://500.co/,"814 Mission Street, San Francisco, CA 94103","We invest in companies in markets where technology, innovation, and capital can unlock long-term value and drive economic growth.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",150000,2500000
iSeed,https://www.iseed.vc,"New Delhi, India",We invest in mission-driven Indian founders and bringing Silicon Valley's top operator minds closer to them.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,500000
Doha Tech Angels,http://www.dta.qa/,"D Ring Road, Building No 131, Doha, PO BOX 2116, QA",We invest in seed stage technology startups in MENA and South Asia.,Angel network,"['Early Revenue', 'Scaling']",50000,250000
Best Nights VC,https://bestnights.vc/,"M-Venture GmbH, Jägermeisterstr. 7-15, 38296 Wolfenbüttel","We invest in the most ambitious entrepreneurs with the mission to shape the nightlife of the future. With our Investments we empower people to have THE BEST NIGHTS OF THEIR LIFE and are re-defining the cultural lives of our young urban target group

We invest INTERNATIONAL from SEED TO SERIES A with a TICKET SIZE of EUR 250K – 1.5M. We invest in Consumer-Tech and focus on Digital Interactive Experiences, GenZ driven Consumer Brands, Social Gaming, Social + Communities, Revival of Offline Experiences and Mindful Celebrations. ",Corporate VC,"['Early Revenue', 'Prototype', 'Scaling']",100000,1500000
Sheesha Finance,https://www.sheeshafinance.io/,"ALMAS-48-CV34 ALMAS Tower Plot, JLT-PH1-A0 Jumeirah Lakes Towers, Dubai, United Arab Emirates","We invest in long-term projects at the earliest stage that pave the way for mass blockchain adoption across different border, barriers and ecosystems. As a decentralized VC investing, we aim to diversify our portfolio, investing in DeFi, Gaming, NFT, Real World application and encourage ESG narratives.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",100000,1000000
SCOR Ventures,https://www.scor.com/en/scor-pc-ventures,"5, avenue Kléber, 75 795 Paris Cedex 16, Paris","We invest in: (1) the ‘Insurers of the Future’: tech-driven underwriting companies (MGAs, carriers) that offer multiple points of digital and business model differentiation. (2) any type of software solution connected to risk, from trade finance to predictive maintenance. (3) any solution helping people live healthier lives.",Corporate VC,"['Early Revenue', 'Scaling']",1000000,10000000
Vertex Ventures (Southeast Asia and India),https://www.vertexventures.sg/,"250 North Bridge Road, #11-01. Raffles City Tower, Singapore 179101","We invest in high-growth startups seeking their first round of institutional venture capital funding globally (pre-series A, Series A and beyond).

We are not your typical VC firm. We are known to be “Co-founders” to the startups we invest in. We support our portfolio companies in terms of:

- Talent Acquisition
- Expert Domain Knowledge
- Business Development & Strategic Partnerships
- Next Round of Funding",VC,"['Early Revenue', 'Scaling', 'Growth']",1000000,10000000
MARC Group,http://www.marc-group.com/,"Limestone House, Dubai, UAE ","We invest in innovative early stage companies across sectors and geographies.

We’re a family office with 2 principals and a diverse portfolio of venture investments (edtech, healthtech, proptech, AI/ML, RPA, media & entertainment, marketplaces, fintech).",Family office,"['Prototype', 'Early Revenue', 'Scaling']",25000,1000000
Exponential Impact,https://exponentialimpact.xyz/,USA,We invest in companies that have the potential to save the world (literally). Focused on early stage frontier technology companies that can provide radically effective solutions for climate change.,Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,250000
Magic Fund,https://magic.fund,"Los Angeles, CA 90046",We invest in great founders from around the world regardless of stage or revenue. We are founders ourselves investing in founders.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,200000
MARL Accelerator,https://marlaccelerator.com/,"San Mateo, California","We invest in founders working on solving B2B problems in the sector of Mobility, AR/VR, Robotics, Logistics, Cybersecurity, AI & ML.

- At least one tech founder.
- Prototype Ready
","Incubator, Accelerator","['Prototype', 'Early Revenue']",50000,50000
Variant,https://variant.fund/,"382 NE 191st St PMB 47003, Miami, Florida 33179-3899 US",We invest in pre-seed and seed crypto-native companies in the ownership economy.,VC,"['Idea or Patent', 'Prototype', 'Scaling', 'Early Revenue']",250000,7000000
MDR Lab,https://lab.mdr.london/,"70 Kingsway, Africa House, London, England WC2B 6AH, GB",We invest in early stage companies in the legal space and help them find pmf and get ready for commercial traction,Corporate VC,"['Prototype', 'Early Revenue']",150000,50000
Malpani Ventures,https://www.malpaniventures.com,"BKC, Mumbai, Maharashtra, India - 400071","We invest in early revenue/ traction India focused companies across software/ SAAS, education and healthcare",Family office,"['Prototype', 'Early Revenue']",100000,300000
Simsan Ventures,https://simsan.vc,"83 Baker Street, London, W1U6AG, UK","We invest in early stage tech startups with focuses on deep tech and fintech in the UK, Europe, India and South Korea.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,2500000
JPIN Venture Cataysts,https://www.jpin.co/,"40 Bank Street, Canary Wharf, London, TW16 6PY, GB","We invest in worldwide blockchain, crypto and digital assets startups below Series C.",VC,"['Idea or Patent', 'Early Revenue', 'Prototype', 'Scaling']",50000,5000000
Immeasurable,https://immeasurable.com,"West Hollywood, CA 90069",We invest in founders building ambitious companies all across the globe.,Family office,"['Early Revenue', 'Prototype', 'Idea or Patent']",25000,100000
Flucas Ventures,https://www.flucasvc.com/,"Palm Beach, Florida, USA","We invest in all geographies, sectors and stages, but have an emphasis on fintech and marketplaces. ",Angel network,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,5000000
Alpine Ventures,https://alpine.vc/,"2331 Glenview St, Alameda, CA 94501","We invest in seed stage tech startups in consumer Internet, web3 applications, and prosumer software globally. We invest post-product (can be in beta), pre everything else (pre-revenue, pre-growth).",VC,"['Prototype', 'Early Revenue']",250000,2000000
Thomson Reuters Ventures,https://www.thomsonreuters.com/en/ventures.html,"3 Times Square New York, New York 10036","We invest in data startups.

-	We are a $100M enterprise technology fund with the backing and resources of Thomson Reuters at our disposal. When we invest, we are seeking to accelerate the growth of the companies we invest in by enabling access to TR’s assets and expertise.

-	We are focused on investments in Series A companies. We will do some opportunistic Seed and/or Series B investments, but the majority with be Series A. 

-	Any company that is verticalized in the markets we operate in or adjacencies, has a core data element, and is building an interesting ML, NLP, prediction, or task/process automation based solution is going to be a sweet spot for TR Ventures",Corporate VC,"['Early Revenue', 'Scaling', 'Growth']",2000000,5000000
Audacious Ventures,https://www.audacious.co/,"San Francisco, USA","We invest in seed stage companies: SaaS, Marketplaces, Crypto",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,4000000
Quiet Capital,https://www.quiet.com/,"San Francisco, California","We invest in fintech, crypto, enterprise, healthcare, marketplaces, and consumer startups. ",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",500000,35000000
Pratithi Investments,https://www.linkedin.com/company/pratithi-investments/,"No. 515, 1st Cross, 12th Main, IV Block, Koramangala, Bangalore 560034",We invest in all sectors with other institution lead investors. We focus on great founders with great products and high standards of corporate governance. We Prefer to invest in capital-efficient companies.,VC,"['Scaling', 'Growth']",4000000,10000000
Exitfund Ventures,https://exitfund.com/,"San Jose, California ","We invest in software startups in the US or India that are solving big problems.
We are open for any software, web3.0, blockchain, AI, Generative AI, Healthtech, Fintech or a tech-based startup to invest irrespective of sector.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",10000,100000
YAP Capital,https://www.yapcapital.ventures/,Munich,"We invest in core infrastructure projects, decentralized finance (DeFi), Metaverse, gaming applications, and the tools and services required to develop a new product.",Family office,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,250000
Incisive Ventures,Https://incisive.vc,"2212 Queen Anne Ave N, Suite 827, Seattle, WA 98109",We invest in technology companies that reduce friction at scale in the pre-seed and seed stage.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,500000
Saka Ventures,https://saka.vc,"NYC, USA",We invest in Indian startups targeting the US and other global markets.,VC,"['Early Revenue', 'Prototype']",100000,300000
C2 Capital,https://www.c2capital.org/,"5 Cheapside, London, EC2V 6AA, UK","We invest in technology oriented businesses, solving real-world problems, with revenues or a clear path to revenue, with repeatable and scalable business models, and global potential.",VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",50000,10000000
Cactus Venture Partners,https://cactusvp.com/,"Satellite Gazebo, Guru Hargovindji Rd, Chakala, Andheri East, Mumbai, Maharashtra 400093, IN",We invest in consumer brands and enterprise tech startups,VC,"['Scaling', 'Growth']",2000000,10000000
Brinc,https://www.brinc.io/,"7F Floor Block A PMQ, 35 Aberdeen St, Central, Hong Kong","We invest in technology-based startups within the Agrifood, Smart Cities, Healthcare and Blockchain industries, located globally.","Incubator, Accelerator","['Prototype', 'Early Revenue', 'Scaling']",100000,500000
Fundamental VC,https://www.fundamentalvc.in/,"Lavelle Road, Bangalore, India",We invest in the first or second rounds of technology startups,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,2000000
dlab,https://dlab.vc/,"New York, NYC US","We invest in early-stage crypto projects building DeFi, interoperability, and infrastructure protocols.",VC,"['Prototype', 'Early Revenue']",100000,300000
Ischyros New York,https://www.ischyrosnewyork.com/,"The Clubhouse Mayfair, 50 Grosve, Grosvenor Hill, London, W1K 3QT",We invest in all sectors and stages.,Other,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",250000,3000000
TotalEnergies Ventures,https://ventures.totalenergies.com/en,"Total Tour Coupole 2, place Jean Millier 92078 Paris La Défense",We invest in climate-tech companies globally from Series A to late-stage,Corporate VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",500000,10000000
Hoxton Ventures,https://www.hoxtonventures.com/,"Dehli, India",,Angel network,"['Prototype', 'Early Revenue']",200000,
Brand Capital,https://www.brandcapitalus.com/,"303 Twin Dolphin Dr, Redwood City, CA 94065",We invest in stage and sector agnostic companies that are looking to expand to India.,VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",500000,5000000
ResilienceVC,https://www.resilience-vc.com/,"8 The Green, Suite R Dover, Delaware 19901","We invest in fintech startups that leverage distribution, data, delivery, and trust advantages to scale. Our focus is on fintech companies serving the mass market to build resilience for their end users. ",VC,"['Early Revenue', 'Prototype', 'Scaling']",500000,1000000
Alecla7,https://www.alecla7.com/,"Corso Venezia 54, Milan, Italy","We invest in VC opportunities globally, we are geography and industry agnostic and our sweet spot is Pre-seed to Series A stage (opportunistic from pre-seed to Pre-IPO). We mainly act as follower",Family office,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,1000000
Peaceful Progress,https://www.peacefulprogress.in/,"No. 5/27, Door No.9, 3rd Floor, 10th Avenue (Opp Sri Krishna Sweets), Ashok Nagar, Chennai 600083","We invest in Tech-focused and Consumer-driven Startups leveraging our 20+ investments in these sectors generating minimum 6 exits at 2X MOIC in the next 4 years. Peaceful Progress Fund is a US $10 million seed fund in Chennai, India.",VC,"['Scaling', 'Growth']",130000,400000
Cabra VC,https://cabra.vc/,"Riga, Latvia",We invest in early stage post-revenue companies and support young teams to grow rapidly.,VC,"['Early Revenue', 'Scaling']",,
Swiss Founders Fund,https://sff.vc,"Schuetzengasse 7, 9000 St.Gallen, Switzerland","We invest in seed & early-stage tech startups with a focus on PropTech, Hospitality, Exponential Technologies & DLT.",VC,"['Early Revenue', 'Prototype', 'Idea or Patent']",25000,250000
Capgemini Ventures,https://www.capgemini.com/about-us/who-we-are/innovation-ecosystem/capgemini-ventures/,"11 rue de Tilsitt, 75017 Paris, France","We invest in ready-to-scale B2B startups with €1M+ ARR, that enrich Capgemini's offer portfolio of tech and engineering services (focus on Entreprise SaaS) in NA, Europe and APAC. We act as a strategic partner.",Corporate VC,"['Scaling', 'Growth', 'Pre-IPO']",1000000,5000000
IBM Ventures,https://www.linkedin.com/company/ibmventures/,"1 New Orchard Rd., Armonk, NY 10504","We invest in infrastructure software companies across Cybersecurity, Data/AI/ML, Quantum Computing, and Climate Tech with a Series A - C sweet spot.",Corporate VC,"['Scaling', 'Growth', 'Pre-IPO', 'Early Revenue']",2000000,10000000
M Venture Partners,https://www.m-venturepartners.com/,"15a Stanley St, Singapore, 068734, SG",We invest in Pre seed up to Pre-Series A companies with great & smart founders who have had professional experience within relevant fields. Sector agnostic with a preference for revolutionary tech or early signs of traction.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,1000000
HubSpot Ventures,https://www.hubspot.com/ventures,"25 First St, Cambridge, MA 02141","We invest in ""seed plus"" and later companies aligned with our mission of helping millions of organizations grow better.

Prospective investments must, among other criteria:
- Align with our mission to help millions of organizations grow better
- Have potential to deliver unique value to the HubSpot community
- Be building a category-leading SaaS-based product
- Embody the values in HubSpot’s Customer Code and Culture Code
- Be raising a Seed, Series A, or Series B round with a notable lead",Corporate VC,"['Pre-IPO', 'Growth', 'Scaling', 'Early Revenue']",500000,3000000
9Unicorns,https://www.9unicorns.in/,"Mittal Commercia, Sakinaka, Hasan Pada Rd, Mittal Industrial Estate, Marol, Andheri East, 203-206, Mumbai, Maharashtra 400059, IN",We invest in early stage startups across all sectors. The fund will operate uniquely as an accelerator & invest in very early-stage startups. It aims to disrupt idea stage funding in India by providing initial capital of $100K with further committed capital for deserving portfolio companies. The accelerator VC will fund 100+ early-stage startups in 3 years.,VC,"['Early Revenue', 'Scaling', 'Prototype', 'Idea or Patent']",100000,2000000
Venture Catalysts,https://venturecatalysts.in/,"2nd Floor, B – Wing, Mittal Commercia, Behind JW Marriott, Andheri – East, Mumbai, Maharashtra 400059, IN","We invest across sectors. Venture Catalysts is creating the world's largest community driven integrated incubator that supports startups across its lifecycle with a combination of capital, knowledge & network. Having started in 2016, Venture Catalysts has been India's top ranked early stage startup investor for 5 years running, and has featured amongst the world's top 3 early stage investors for the last 2 years.

Venture Catalysts is an integrated incubator which invests USD 200k - 2Mn in capital and provides a combination of mentoring and support to the startups. Besides being India's leading investor, Venture Catalysts has gone on to become one of the World's Most Active Investors in the last few years",Angel network,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,2000000
Beams Fintech Fund,https://beams.vc/,"Mumbai, India","We Invest in companies operating at the intersection of Financial Services & Technology. Beams Fintech Fund is India’s 1st Growth Stage (Series B & C) Focussed Fintech Private Equity Fund. Our Fund will create a concentrated portfolio of 10-12 investments by investing $10 -$12 Mn in high-quality Fintech founders & companies in their Series B & C rounds ($100-500 Mn EV). We follow a thesis-driven approach towards investments & have narrowed it down to the following themes for the Fund: Embedded Finance, Platforms & Technologies for the Incumbents or Disrupting the Incumbents, Global Enterprises SAAS, Open Banking & Digital Financial Inclusion.",VC,"['Pre-IPO', 'Scaling', 'Growth']",7000000,12000000
Aperitivo,https://aperitivo.vc,"Avinguda Diagonal, 606, 08021 Barcelona",We invest in Worldwide startups from 0 to 1. Sector Agnostic.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",50000,5000000
Canaan,https://www.canaan.com/,"2765 Sand Hill Road, Menlo Park, CA 94025","We invest in early-stage startups across multiple sectors:  Enterprise, Consumer, Fintech & Frontier from seed to Series B.",VC,"['Prototype', 'Early Revenue', 'Scaling']",500000,20000000
Prepare 4 VC,http://prepare4vc.com,"100 State Street, FL 11, Boston, MA 02109","Our focus is on turning great founders into great leaders of growing startup ventures. We set goals with you at the beginning of the program with the aim of achieving your 12 month milestones in 12 weeks through educational programming, cohort based brainstorming and sharing, and accelerated introductions to partners, investors, and mentors who can turn ideas into action.","Incubator, Accelerator","['Prototype', 'Early Revenue']",0,0
Superbet Ventures,https://www.superbetgroup.com,"38 Warren Street, London, England W1T 5LA, GB","We invest at the intersections of sport, entertainment, betting, gaming, crypto & web3.

",Corporate VC,"['Prototype', 'Early Revenue']",100000,1000000
Dheeraj Sidana,https://www.dksidana.com,"Delhi, India","I invest in SAAS, India/US",Solo angel,"['Idea or Patent', 'Prototype', 'Early Revenue']",1000,50000
Blockchain Founders Fund,https://blockchainff.com/,Singapore,"We invest in pre-seed to seed stage, blockchain, crypto, and web3 startups. We seek companies early, under $25M in valuation. ",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",200000,1000000
Randev Ventures (Family Office),https://www.randevventures.com,"Dubai, United Arab Emirates","We invest in B2B Emerging technology, Deeptech, SaaS, Cleantech, and Web3. We invest across India, MENA, North America and SEA. ",Family office,"['Prototype', 'Idea or Patent', 'Early Revenue', 'Scaling']",50000,1000000
Pentathlon Ventures,https://pentathlon.vc/,"Pune, India",We invest in Seed stage B2B SaaS companies with at least USD 100k of ARR.,VC,['Early Revenue'],350000,1000000
Great Eagle Holdings,https://www.greateagle.com.hk/,"33/F, Great Eagle Centre, 23 Harbour Road, Wanchai, Hong Kong","We invest invest in early stage Seed to Series B.

We are sector agnostic, for example we invest in Deep Tech, Semiconductors, Hard Tech, Robotics, Biotech, Life Sciences, Fintech, Software & Internet (e.g. SaaS, Cybersecurity, Ecommerce), AI, Logistics, Proptech, Edtech, Foodtech, Cleantech, Gaming, Consumer & Retail, ConstrucTech, Medical Devices",Corporate VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",1000000,4000000
Fintech Next,https://www.fintechnextventures.com/,1968 S. Coast Hwy #3164 Laguna Beach CA 92651,"We invest in fintech, ecommerce and payments",Angel network,"['Early Revenue', 'Scaling']",25000,150000
LvlUp Ventures,https://www.lvlup.ventures/,"555 E 5th St. Los Angeles, California 90013, US",We invest in startups with early traction (industry-agnostic),Corporate VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",200000,1000000
30N Ventures,https://30n.vc,"Santiago, Chile","We invest in:

Stages 
Late Seed, Series A.

Sectors
- Fintech: Transforming the financial landscape with new models and technologies.
- Foodtech: Shaping the future of food production, distribution, and consumption.
- Retail: Revolutionizing e-commerce, marketplaces, and logistics for a seamless customer experience.",VC,"['Early Revenue', 'Scaling', 'Growth']",300000,5000000
First Stage Labs,https://fslabs.io/,"Boulevard Plaza, Dubai, UAE",We invest in web3 companies building products for mass adoption targeting 1M MAU on TON Blockchain,VC,"['Prototype', 'Early Revenue', 'Idea or Patent']",100000,2000000
Inuka Capital,https://inuka.vc,"Singapore, Singapore",We invest in companies that rely on product to drive early growth and network effects,VC,"['Idea or Patent', 'Early Revenue', 'Prototype']",100000,500000
3one4 Capital,https://www.3one4capital.com,"Office #1, 5th Floor, 1 Sobha 50, St Mark's Rd, Ashok Nagar, Bengaluru, Karnataka 560001","We invest in SaaS, Enterprise & SMB Automation, Fintech, Consumer Internet, and Digital Health, with a focus on areas such as machine-driven actionable intelligence services, digital media, ambient intelligence technologies, logistics and distribution, and climate and sustainability tech.",VC,"['Prototype', 'Early Revenue', 'Scaling']",100000,5000000
Bangchak Initiative and Innovation Center,https://www.bangchak.co.th/en/greenovation/biic,"2098 M Tower Building, 8th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong, Bangkok 10260 Thailand","We invest in Cleantech / ClimateTech / Sustainability, hydrogen, green molecules, CCUS, biosciences -(therapeutics, diagnostics, and devices, sustainability and synthetic biology) along with ideas that could help accelerate net zero with radical, cutting edge ideas and technology.

",Corporate VC,"['Prototype', 'Early Revenue', 'Scaling']",500000,5000000
Expert Dojo,https://expertdojo.com/,"395 Santa Monica Place, Santa Monica, CA 90405, United States","We invest in Fintech, IoT, BioTech, Health Care, Healthtech, SaaS, web3, Decarbonization, CPG, Software, Tech.","Incubator, Accelerator","['Early Revenue', 'Scaling', 'Growth']",25000,100000
Sketchnote Partners,https://www.crunchbase.com/organization/sketchnote-partners/recent_investments,"Madrid, Spain","We invest in SaaS, Fintech, Agritech, Logistics, Edtech.

Our thesis is simple. We look for:
- amazing founders
- early signs of product-market-fit
- a strong lead investor. We are always followers, we do not lead",VC,"['Early Revenue', 'Prototype']",50000,250000
