NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
Media Investments,Corporate VC,"Scaling, Growth, Pre-IPO","AdTech, SaaS, Online Businesses","Advertising Technology, Subscription Businesses","SaaS, Digital Platforms",₹8.3 Cr – ₹149.4 Cr INR,"London, United Kingdom"
Octava,Family Office,"Early Traction, Scaling","Fintech, AI","Financial Software, AI / ML","SaaS, Fintech Platforms",₹4.15 Cr – ₹16.6 Cr INR,Singapore
Akhilesh Chandra,Angel,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","AI, Gaming, Web3, SaaS, Entertainment, Fintech, HealthTech","Esports / Gaming, Web3 Platforms, SaaS Tools, Digital Health","SaaS, Gaming, Fintech, Web3",₹4.15 L – ₹41.5 L INR,USA
CSGo Hub (Crypto Serumpun Go Hub),Incubator / Accelerator,"Prototype, Early Traction, Scaling, Growth, Pre-IPO","Web3, AI, Gaming, Blockchain","GameFi, DeFi, DePin, RWA, L0/L2","Incubation, Web3 Development",₹8.3 L – ₹2.49 Cr INR,South East Asia
NOW Venture Studio,Startup / Venture Studio,"Idea or Patent, Prototype","Sustainability, ClimateTech, DeepTech","ClimateTech / CleanTech, DeepTech","Venture Studio, DeepTech Product Development",₹20.75 L – ₹2.075 Cr INR,"Bengaluru, Karnataka"
Amit Gogia,Angel,"Early Traction, Scaling","Consumer, Healthcare, EdTech, SaaS","Digital Health, EdTech, Consumer SaaS","D2C, SaaS, Consumer Platforms",₹8.3 L – ₹20.75 L INR,India
Startup Sherpas,Incubator / Accelerator,"Prototype, Early Traction, Scaling","Consumer, D2C","Consumer, Retail Tech","D2C, Consumer Platforms, Incubation",₹41.5 L INR,"Gurugram, Haryana"
Elevar Equity,Venture Capital,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","Financial Inclusion, MSME Support, Low-income Communities","Fintech for MSMEs, Social Impact, Small Business Tools","SaaS, Financial Services, Social Impact Ventures",₹8.3 Cr – ₹83 Cr INR,"Bengaluru, Karnataka"
AngelSpark,Angel,"Idea or Patent, Prototype, Early Traction, Scaling","Fintech, IoT, Web3, SaaS, F&B","Developer Tools, Open Source, ISP","SaaS, Marketplace, Consumer Platforms",₹8.3 L – ₹8.3 L INR,"Dubai, UAE"
CobuildX,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction, Scaling, Growth, Pre-IPO","Software, Web3, Fintech, SaaS, Healthcare, Retail, Enterprise / B2B","Enterprise / B2B SaaS, HealthTech, Retail Tech","SaaS, Fintech, Startup Studio",₹12.45 L – ₹20.75 L INR,"Austin, Texas, USA"
Harriet Ventures,Private Equity / Growth,"Early Traction, Scaling, Growth, Pre-IPO","Fintech, SaaS, AI, EdTech, PropTech, HealthTech, Gaming, BioTech","B2C / B2B Tech, Social Impact, SMB Platforms","SaaS, Fintech, Consumer Goods",₹4.15 Cr – ₹415 Cr INR,"St. Petersburg, Florida, USA"
Travel Capitalist Ventures,Venture Capital,"Early Traction, Scaling, Growth, Pre-IPO","Travel, TravelTech, Fintech","Travel Payments, Hospitality / Real Estate, Travel Platforms",B2B / B2C Travel Platforms,₹4.15 Cr – ₹41.5 Cr INR,"Doha, Qatar"
Phoenix Venture Partners Ltd.,Venture Capital,"Early Traction, Scaling, Growth","Fintech, Insurtech, HealthTech, Agritech, EdTech, Energy, Logistics, Consumer","Mobility, EnerTech, FoodTech, EdTech","SaaS, Supply Chain, Consumer Platforms",₹8.3 L – ₹2.49 Cr INR,"Abu Dhabi, UAE"
XVC Tech,Venture Capital,"Scaling, Growth","Web3, Blockchain","Blockchain Infrastructure, Web3","Blockchain, Web3",₹20.75 Cr – ₹16.6 Cr INR,"Dubai, UAE"
SHRMLabs,Venture Capital,"Early Revenue, Scaling, Growth","HRTech, WorkplaceTech, Future of Work","HRTech, SaaS, Workplace Innovation","Capital, Strategic Growth",₹41.5 L – ₹1.66 Cr INR,"Alexandria, Virginia, USA"
Striking Markets,Angel,"Validation, Early Traction","Fintech, Blockchain, Entertainment, Creator Economy","DeFi / Web3, Creator Tools, Entertainment, Digital Assets","Marketplace, Web3 Infrastructure, Digital Platforms",₹8.3 L – ₹83 L INR,"The Hague, Netherlands"
JT Ventures,Family Office,Early Traction,"Disruptive Innovation, Technology","DeepTech, Enterprise / B2B, Consumer Innovation","SaaS, Marketplace, Enterprise Applications",₹41.5 L – ₹2.075 Cr INR,"Bangalore, Karnataka, India"
Cisco Climate Commitment,Corporate VC,"Ideation, Validation, Early Traction, Scaling","ClimateTech, IoT, CleanTech, AgriTech, EnergyTech, Urban Tech","AgriTech, Carbon Management, Circular Economy, Renewable Energy","IoT Platforms, Energy Efficiency Solutions, Climate SaaS",₹1.66 Cr – ₹16.6 Cr INR,"San Jose, California, USA"
OM DAO Ventures,Venture Capital,"Validation, Early Traction, Scaling, Growth","Web3, DeFi, Gaming, Infrastructure","Blockchain Gaming, DeFi Protocols, Web3 Infrastructure","Decentralized Apps, Token Economy, P2E Gaming",₹24.9 L – ₹2.49 Cr INR,"Casper, Wyoming, USA"
Critical Ventures,Venture Capital,"Validation, Ideation, Early Traction, Scaling","IoT, Web3, Fintech, AI, ML, DevOps, Blockchain","Cybersecurity, Fintech SaaS, Industrial IoT, Cloud / DevOps","SaaS, Enterprise Platforms, IoT Applications",₹20.75 Cr – ₹249 Cr INR,"Coimbra, Portugal"
Frontierspace Ventures,Venture Capital,"Early Traction, Scaling, Growth","Technology, Consumer, Enterprise / B2B",Revenue-driven Startups,"SaaS, B2B Platforms, Growth Tech",₹83 L – ₹8.3 Cr INR,"New Delhi, India"
Sahith Aula,Angel,"Ideation, Validation, Early Traction","Fintech, Emerging Markets","Embedded Finance, Financial Inclusion","Digital Finance Platforms, SaaS for Fintech",₹4.15 L – ₹41.5 L INR,"New York, USA"
I XCEL Ltd,Startup / Venture Studio,"Ideation, Validation, Early Traction, Scaling, Growth, Pre-IPO","Socio-economic Development, Consumer, Fintech, Technology","Early Cash-flow Businesses, Consumer Services","Startup Studio, Value Creation, Scale Enablement",₹20.75 L – ₹83 L INR,"London, United Kingdom"
Telah,Angel,"Validation, Ideation, Early Traction, Scaling","Web3, Blockchain, Gaming, Consumer","VR / AR, Web3, Consumer Internet","Digital Platforms, Gaming, Blockchain Infrastructure",₹1.245 Cr – ₹2.49 Cr INR,"Paris, France"
Aperio Partners,Venture Capital,"Early Traction, Scaling","Consumer, Fintech, HealthTech, Mobility / Logistics, SaaS, DeepTech","Logistics Tech, Consumer Internet, HealthTech / SaaS","SaaS, DeepTech Platforms, Mobility",₹1.245 Cr – ₹3.735 Cr INR,"Mumbai, Maharashtra, India"
FundL Ventures,Venture Capital,"Ideation, Validation, Early Traction","CleanTech, ClimateTech, Renewable Energy, EV, AgriTech","Carbon Reduction, Energy Transition, AgriTech Solutions","SaaS for Energy, Renewable Infra, Impact Tech",₹1.1205 Cr – ₹12.45 Cr INR,"Tokyo, Japan"
10K Ventures,Family Office,"Ideation, Validation, Early Traction","Technology, Fintech, Consumer, AI / Future of Work","Enterprise / B2B SaaS, SaaS, XR / AR, Fintech","SaaS, Marketplace, Enterprise Software",₹83 L – ₹1.66 Cr INR,"Berlin, Germany"
Accel Partners,Venture Capital,"Early Traction, Scaling","AI, Consumer, Fintech, Manufacturing, Enterprise / B2B","E-commerce, Enterprise / B2B SaaS, HealthTech, SaaS, B2B Marketplaces, Web3 / Blockchain","SaaS, Marketplace, Digital Platforms, Consumer Internet",,"London, United Kingdom"
American Family Ventures,Venture Capital,"Prototype, Early Traction, Scaling, Growth","Insurance, Fintech, Analytics, Proptech, Cybersecurity","Insurtech, Risk Management, Adjacent / Enabling Tech","SaaS, Data Analytics, Enabling Tech, Digital Platforms, Risk / Claims, Distribution",₹4.15 Cr – ₹83 Cr INR,"Madison, Wisconsin"
Amicus Capital Partners,Private Equity / Growth,"Growth, Scaling","Financial Services, Consumer, Healthcare, Technology, Specialty Manufacturing","Insurtech / Fintech, Diagnostics / Healthcare Services, Manufacturing, Consumer / FMCG, Payments & Identity, Home Appliances","Scaling Proven Business Models, Digitalization, Market Access, Operational & Governance Improvements",₹83 Cr – ₹290.5 Cr INR,"Bangalore, Karnataka, India"
Ankur Capital,Venture Capital,Early Traction,"Agritech, DeepTech, ClimateTech, Healthcare, Education, Financial Services, Digital Technology","Synthetic Biology, AI / ML, ClimateTech / CleanTech, HealthTech, FoodTech, AgriTech, Financial Inclusion","Digital Tech-led Businesses, Deep Science / IP Innovation, ClimateTech / CleanTech, Inclusive Growth, B2B / B2C Models",From ₹41.5 L INR,"Mumbai, Maharashtra, India"
Anthill Ventures,Venture Capital,"Early Traction, Scaling, Growth","HealthTech, ClimateTech, Urban Tech, Media / Lifestyle, Consumer","Digital Therapeutics, Genomics, Clean Mobility, Smart Cities, Consumer / D2C, Media / Lifestyle, Creator Economy","Speed-Scaling, Market Access & Distribution, Brand & Marketing Support, Go-to-Market Strategy, Product / Business Model Refinement, Mentorship & Ecosystem",₹41.5 L – ₹83 Cr INR,Singapore
Antler,Venture Capital,"Validation, Ideation","AI, Fintech, HealthTech, Consumer, DeepTech, ClimateTech","Verticalized AI, Enterprise / B2B SaaS, Preventive Health, CleanTech, Digital Consumer Platforms","Pre-seed / Day Zero Support, Ideation, Team Building, Co-founder Matchmaking, Initial Capital & Follow-on Funding, Mentorship / Ecosystem, Global Network & Residency",₹8.3 L – ₹8.3 L INR,Singapore
Arali Ventures,Venture Capital,"Idea or Patent, Prototype, Early Revenue","Enterprise / B2B, Robotics, Fintech, HealthTech","SaaS, B2B Marketplaces, Robotics, Digital Risk Intelligence, AI / ML","B2B / Enterprise Software, Prototype to Product Development, Go-to-Market for Enterprise / SME, Deep / Frontier Tech",₹41.5 L – ₹83 L INR,"Bangalore, Karnataka, India"
Sector 7 Venture Studio,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction, Scaling, Growth, Pre-IPO","Fintech, DeepTech, Consumer","AI / ML, Brand / Marketing, Technology, Consumer Internet, Product Design","SaaS, Marketplace, Digital Product / Design, Consumer Goods, Technology Platforms",₹0.415 L – ₹12.45 L INR,"Mumbai, Maharashtra"
Chandigarh Angels Network,Angel,"Idea or Patent, Prototype, Early Traction",Sector-agnostic,"SaaS, Enterprise / B2B, DeepTech, Consumer, FoodTech, AgriTech","SaaS, B2B, Consumer Platforms, Marketplace, D2C, FoodTech",₹10 L – ₹3.32 Cr INR,"Chandigarh, Punjab"
Hummingbird Capital Partners,Private Equity / Growth,"Early Traction, Scaling, Growth, Pre-IPO","Fintech, Blockchain, Consumer","DeFi / Web3, Digital Finance Platforms, Consumer / Blockchain Integration","Blockchain / Web3, Infrastructure, Fintech Platforms, Payments",₹41.5 L – ₹2.49 Cr INR,"Zurich, Switzerland"
Techne Infiniti Ventures,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction","Hospitality Tech, Travel, Food & Beverage, Wellness, Recreation","AI / ML, IoT, Wellness, Travel, FoodTech","SaaS / Cloud Platforms, Hospitality Ops Tech, Marketplace, IoT / Hardware",₹41.5 L – ₹83 L INR,"Cupertino, California, USA"
Chirag Sheth,Angel,"Prototype, Early Traction, Scaling","Sector-agnostic, Consumer / Retail / E-commerce","Retail, Consumer Platforms, Marketplace","Marketplace, D2C / Consumer Goods, Platform / SaaS",₹2.075 L – ₹83 L INR,"Charlotte, North Carolina, USA"
Spiral Ventures,Venture Capital,"Prototype, Early Traction, Scaling","Technology, E-commerce, Fintech, HealthTech, Supply Chain, Manufacturing, Consumer","Marketplace, SaaS / Enterprise, Fintech, IoT, Mobility / Logistics","SaaS, B2B Platforms, Marketplace, Supply Chain / Logistics, Consumer Platform",₹83 L – ₹83 Cr INR,Singapore
Rukam Capital,Venture Capital,"Prototype, Early Traction, Scaling","Consumer, D2C, Purpose-led / Social Impact","Consumer / D2C, Wellness / Lifestyle, Brand Tech","Consumer Goods, D2C Platforms, Brand + Tech Stack",₹41.5 L – ₹83 L INR,India
Okya Ventures,Angel,Early Traction,"AI, DeepTech, Enterprise / B2B","Machine Learning, SaaS Platforms, Enterprise / B2B Tools","SaaS, Enterprise Software",₹6.64 L – ₹16.6 L INR,Singapore
Colopl Next,Corporate VC,"Early Traction, Scaling, Growth, Pre-IPO","Entertainment, Gaming, Consumer","Mobile Games, AR / VR, Creator Economy","Gaming Platforms, Consumer Apps, Media Tech",₹83 L – ₹41.5 Cr INR,"Tokyo, Japan"
Sandstorm.vc,Angel,"Validation, Early Traction, Ideation","SaaS, Fintech, HealthTech, Industry 4.0","Enterprise / B2B SaaS, MedTech, Industrial Automation","SaaS, Industry 4.0 Platforms, HealthTech SaaS",₹41.5 L – ₹4.15 Cr INR,"Dubai, UAE"
ISX8 Ventures,Angel,"Early Revenue, Scaling, Growth","Enterprise / B2B, AdTech, MarTech, AI, Developer Tools, Productivity","SaaS, Marketing Tech, AI / ML","Capital, Strategic Support",From ₹41.5 L – ₹83 L INR,"San Mateo, California, USA"
Neil Mehta,Angel,"Early Revenue, Scaling","Tech4Good, Mobile Apps, SaaS Innovation","Tech for Communities, SaaS",Angel Investment,Up to ₹2.49 Cr INR,"London, UK"
Indus Equity Partners,Private Equity / Growth,"Scaling, Growth, Pre-IPO",Sector-agnostic,Private Equity,"Capital, Growth Funding",₹4150 Cr – ₹8300 Cr INR,"Gurgaon, Haryana, India"
Arkstons Capital,Angel,"Idea or Patent, Prototype, Early Revenue, Scaling, Growth, Pre-IPO","IoT, Fintech, SaaS, Tech, EdTech","Technology, Finance, Education","Syndicate, Angel Investment",₹41.5 L – ₹4.15 Cr INR,"London, UK"
SurgeDAO,Angel,"Idea or Patent, Prototype","Web3, DeFi, Bitcoin Ecosystem, AI, Decentralized Storage, Modular Thesis","Blockchain, DeFi, AI / ML","Capital, Early-Stage Investment",₹8.3 L – ₹41.5 L INR,"Noida, Delhi, India"
Seedventure Limited,Venture Capital,"Early Revenue, Scaling, Growth","IoT, Fintech, SaaS, Tech, EdTech","Technology, Finance, Education",Venture Capital,₹83 L – ₹8.3 Cr INR,"Essex, United Kingdom"
Anmol Goel,Angel,"Early Revenue, Scaling",Tech-based Companies,Technology,Angel Investment,₹20.75 L – ₹83 L INR,"London, UK"
Huddle Ventures,Venture Capital,"Ideation, Validation, Early Traction","Climate, Consumer, Commerce","Consumer / D2C, E-commerce, Sustainability","Marketplace, SaaS, Consumer Platforms",₹41.5 L – ₹83 L INR,"Gurgaon, Haryana, India"
CouchPotato,Angel,"Ideation, Validation, Early Traction","SaaS, Fintech, Future of Work, ClimateTech, Developer Tools","Enterprise / B2B SaaS, Financial Infrastructure, WorkTech","Pre-seed Investing, SaaS, Future of Work Platforms",₹8.3 L – ₹83 L INR,"Bangalore, Karnataka, India"
Shift Left Ventures,Venture Capital,"Ideation, Validation, Early Traction","Enterprise / B2B, Enterprise Software","Enterprise / B2B SaaS, B2B Platforms","SaaS, B2B Growth Enablement",₹41.5 L – ₹2.075 Cr INR,"Dallas, Texas, USA"
O2 Angels Network,Angel,"Ideation, Validation, Early Traction, Scaling",DeepTech,"AI / ML, Robotics, Quantum, Advanced Materials","DeepTech Commercialization, SaaS Platforms",₹41.5 L – ₹4.15 Cr INR,"Noida, India"
1 4 All Group,Family Office,"Early Traction, Scaling, Growth","Fintech, Consumer, Healthcare, Energy, IT & Media, Infrastructure","Biotech, Mining Tech, FoodTech, Web3, SaaS","Value Investing, SaaS, Infrastructure Platforms",₹83 L – ₹1162 Cr INR,"Dubai, UAE"
Transition VC,Venture Capital,"Validation, Early Traction, Scaling","EV, Renewable Energy, Hydrogen, Energy Storage, Carbon Tech","Electric Mobility, Carbon Capture, Clean Hydrogen","Climate SaaS, EV Platforms, Energy Infrastructure",₹20.75 Cr – ₹16.6 Cr INR,"Bangalore, India"
Cervin Ventures,Venture Capital,"Validation, Early Traction","Enterprise / B2B, Data & AI, Cybersecurity, DevOps, Cloud, Networking","Enterprise / B2B SaaS, Cybersecurity, Cloud","SaaS, Enterprise Platforms, DevOps Solutions",₹20.75 Cr – ₹49.8 Cr INR,"Palo Alto, California, USA"
Fluent Ventures,Venture Capital,"Early Traction, Scaling, Growth","Fintech, Commerce, HealthTech","Commerce, Health Platforms, Financial SaaS","Geographic Arbitrage, SaaS, Cross-Border Commerce",₹1.66 Cr – ₹16.6 Cr INR,"San Francisco, California, USA"
NGP Capital,Venture Capital,Early Traction,"Enterprise / B2B, Industrial Tech, Cybersecurity, Infrastructure","Industrial IoT, Cybersecurity Platforms, Enterprise AI","B2B SaaS, Enterprise Infrastructure, Industrial Solutions",₹41.5 Cr – ₹83 Cr INR,"Palo Alto, California, USA"
Sinarmas Technology,Corporate VC,"Prototype, Early Revenue, Scaling, Growth","Platforms (aggregators, marketplaces), SaaS, DeepTech","B2B / B2C Platforms, Software, Asset-light scalable models","Platform / Marketplace, SaaS, DeepTech",From ₹1.66 Cr INR – ₹83 Cr INR,"Bangalore, Karnataka"
BimTek Group,Family Office,"Growth, Pre-IPO","Real Estate, Infrastructure, Consumer","Property Development, Infrastructure, Consumer Tech","Real Estate, Infrastructure, Consumer Tech",₹83 Cr – ₹124.5 Cr INR,"Delhi, India"
Core91 VC,Venture Capital,"Idea or Patent, Prototype, Early Revenue",Enterprise / B2B,"Business Software, Enterprise Tools","SaaS, B2B",₹4.15 Cr – ₹28.05 Cr INR,"Mumbai, Maharashtra"
CreedCap,Family Office,"Early Revenue, Scaling","Consumer, SaaS, CleanTech, HealthTech","Consumer Platforms, CleanTech, HealthTech","Consumer Tech, SaaS, Health / CleanTech",₹1.66 Cr – ₹12.45 Cr INR,"Bangalore, Karnataka"
Pentathlon Ventures,Venture Capital,Early Revenue,Enterprise / B2B,Enterprise / B2B SaaS,"SaaS, B2B",₹2.905 Cr – ₹8.3 Cr INR,"Pune, Maharashtra"
Dheeraj Sidana,Angel,"Idea or Patent, Prototype, Early Revenue","SaaS, Technology",Software / SaaS,"SaaS, Technology",₹8.3 L – ₹41.5 L INR,"Delhi, India"
Beams Fintech Fund,Venture Capital,"Scaling, Growth, Pre-IPO","Fintech, SaaS, Financial Inclusion","Embedded Finance, Open Banking, Digital Financial Platforms","Fintech, SaaS",₹58.1 Cr – ₹99.6 Cr INR,"Mumbai, Maharashtra"
Venture Catalysts,Incubator / Accelerator,"Early Revenue, Scaling, Growth, Pre-IPO",Sector-agnostic,"Consumer, SaaS, DeepTech, Tech-enabled Businesses","Capital, Mentorship, Incubation",₹8.3 Cr – ₹166 Cr INR,"Mumbai, Maharashtra"
Peaceful Progress,Venture Capital,"Scaling, Growth","Tech, Consumer-driven","Technology, Consumer Internet","Seed Investment, Growth Support",₹10.79 Cr – ₹33.2 Cr INR,"Chennai, Tamil Nadu"
Pi Ventures,Venture Capital,"Seed, Early Traction, Series A","DeepTech, AI, Robotics, Quantum, Biotechnology, Advanced Materials, SpaceTech","AI/ML, Autonomous Robots, Quantum, BioTech, SpaceTech, Advanced Materials","Equity Investment, Strategic Support, DeepTech Founders, Incubation / Acceleration",From ₹41.5 L INR – ₹83 L INR,India
Reliance Venture Asset Management Ltd.,Corporate VC,"Seed, Early Traction, Growth","Technology, CleanTech, Consumer, Infrastructure, Media / Lifestyle","Semiconductors, Reverse Logistics, Internet & Mobile Platforms","Equity Investment, Strategic Partnerships, Incubation Support",From ₹83 L INR – ₹1.25 Cr INR,"Mumbai, Maharashtra"
LVX,Venture Capital,"Seed, Early Traction, Series A, Growth","Fintech, Agritech, EdTech, SaaS, HealthTech, Consumer","Digital Payments, Lending Platforms, Online Learning, Enterprise SaaS, HealthTech, E-commerce","Equity Investment, Angel Syndicates, Venture Debt, Incubation, Acceleration, Founder Education",₹83 L – ₹25 Cr INR,"Bengaluru, Karnataka"
Mahindra Partners,Corporate VC,"Seed, Early Traction, Series A, Growth","Automotive, CleanTech, Consumer, Defence, Healthcare, Infrastructure, Logistics, Media / Lifestyle, Retail, Steel Processing, Technology","Electric Vehicles, Solar Energy, Smart Manufacturing, Military Vehicles, AgriTech, Smart Cities, Conveyor Systems, Media/Lifestyle, Retail Tech, AI/ML Robotics","Equity Investment, Incubation, Strategic Partnerships, Cross-Border Expansion, Technology Transfer",₹8.3 Cr – ₹41.5 Cr INR,"Mumbai, Maharashtra"
Omnivore Partners,Venture Capital,"Seed, Early Traction, Series A","Agritech, Food Systems, ClimateTech, Rural Economy","AgriTech, FoodTech, Rural Fintech, ClimateTech","Equity Investment, Strategic Guidance, Climate Resilience Initiatives, Rural Development",₹83 L – ₹4.15 Cr INR,"Mumbai, Maharashtra"
Orange Corp,Corporate VC,"Seed, Early Traction, Growth","AI, Entertainment, Fashion, Food, Information Technology","AI/ML, Film Production, Sustainable Fashion, Food Security, IT Services","Venture Capital, Incubation, Acceleration, Venture Debt, Film Production & Co-Production",From ₹4.15 Cr INR,"Mumbai, Maharashtra"
IAN Fund,Venture Capital,"Early Traction, Series A, Growth","Software, SaaS, Fintech, HealthTech, AI, BioTech, DeepTech, EdTech, AgriTech, SpaceTech","Enterprise SaaS, Fintech, AI/ML, BioTech, DeepTech, EdTech, AgriTech, SpaceTech","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹2.5 Cr – ₹50 Cr INR,"Delhi, India"
Chiratae Ventures (formerly IDG Ventures India),Venture Capital,"Seed, Early Traction, Series A, Growth","Software, IT & TMT, Media, BioTech, Business Solutions, Fintech, Hardware, CleanTech, HealthTech, Life Sciences","Enterprise SaaS, Digital Consumer, Mobile, Media, Technology-enabled Consumer, MedTech, CleanTech, Cloud","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹83 L – ₹64.1 Cr INR,"Bengaluru, Karnataka"
Elevation Capital,Venture Capital,"Seed, Series A, Growth","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, CleanTech, New Materials","Digital Payments, Enterprise SaaS, E-commerce, Online Education, Renewable Energy, BioTech, AgriTech","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹8.3 Cr – ₹83 Cr INR,"Gurugram, Haryana"
Samrat Investments,Corporate VC,"Seed, Early Traction, Growth","Fintech, AI, CleanTech, AgriTech, HealthTech, EdTech","Digital Payments, AI/ML, Renewable Energy, Sustainable Agriculture, BioTech, Online Education","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹20 L – ₹5 Cr INR,"Manali, Himachal Pradesh"
Samyakth Capital,Venture Capital,"Early Traction, Prototype","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, CleanTech, New Materials","Digital Payments, Enterprise SaaS, E-commerce, Online Education, Renewable Energy, BioTech, AgriTech","Equity Investment, Debt Financing, Strategic Guidance, Market Access, Mentorship, Operational Support",₹20.75 L – ₹1.66 Cr INR,"Mumbai, Maharashtra"
Speciale Invest,Venture Capital,"Idea or Patent, Prototype, Early Traction","DeepTech, AI, SpaceTech, CleanTech, Advanced Manufacturing, Robotics, Semiconductors, Defense","AI/ML Infrastructure, Quantum, Propulsion Tech, Robotics, Rocket Engines, Lithium Tech, Optical Communication, Drones","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹7 Cr – ₹10 Cr INR,"Bengaluru, Karnataka"
Venture Highway,Venture Capital,"Idea or Patent, Prototype, Early Traction","Fintech, EdTech, HealthTech, SaaS, E-commerce, Social Impact, Human Capital, Marketing, AI, Commerce","Digital Payments, Online Education, HealthTech, Enterprise SaaS, Consumer Internet, Social Platforms, Marketing Automation, AI/ML, B2B SaaS, E-commerce","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹1.66 Cr – ₹20.75 Cr INR,"New Delhi, Delhi"
Tomorrow Capital,Corporate VC,"Seed, Early Traction, Growth","Healthcare, Education, Consumer Tech, Wellness, Fintech, Retail","Dialysis Services, Education, Fertility, Nutrition, Fitness, Digital Payments, E-commerce","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹8.3 Cr – ₹83 Cr INR,"Mumbai, Maharashtra"
Emphasis Ventures (EMVC),Venture Capital,"Idea or Patent, Prototype, Early Traction, Scaling","Fintech, Insurtech, SaaS, Enterprise Software, Consumer Tech","Digital Payments, Personal Finance, Enterprise SaaS, Embedded Insurance, Identity Verification, Lending, Embedded Finance","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹83 L – ₹8.3 Cr INR,"Mumbai, Maharashtra"
100X.VC,Venture Capital,"Idea or Patent, Prototype, Early Traction","Fintech, SaaS, DeepTech, Consumer Tech, HealthTech, EdTech, Web3, ClimateTech, Logistics, Enterprise Software","Digital Payments, Lending, InsurTech, Enterprise SaaS, AI/ML, Blockchain, E-commerce, BioTech, RegTech, Consumer/D2C, Logistics Platforms, SaaS Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹29.1 L – ₹29.1 L INR,"Mumbai, Maharashtra"
100Unicorns,Venture Capital,"Idea or Patent, Prototype, EarlyTraction, Scaling","Fintech, SaaS, DeepTech, Consumer Tech, HealthTech, EdTech, Web3, ClimateTech, Logistics, Enterprise Software","Digital Payments, Lending, InsurTech, B2B SaaS, AI, Blockchain, E-commerce, BioTech, RegTech, D2C Brands, Logistics Platforms, SaaS Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹2.5 Cr – ₹16.6 Cr INR,"Mumbai, Maharashtra"
Rajat Parikh,Angel,"Idea or Patent, Prototype, EarlyTraction","Web3, Analytics, Data Integrations","Blockchain Infrastructure, Decentralized Finance (DeFi), Data Analytics, Enterprise Software, SaaS","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹8.3 L – ₹4.15 Cr INR,India
Titan Capital,Family Office,"Idea or Patent, Prototype, EarlyTraction","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, D2C, AI, DeepTech, DefenceTech","Digital Payments, Enterprise SaaS, E-commerce, Online Education, BioTech, Consumer Brands, AI Infrastructure, Cybersecurity, Aerospace, Advanced Manufacturing","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",₹2.49 Cr – ₹4.15 Cr INR,"Gurugram, Haryana"
Rahul Thakur,Angel,Scaling,,Sector-agnostic,,From ₹16.6 Cr INR,"New Delhi, Delhi"
CREDX Ventures,Other,"Idea or Patent, Prototype, EarlyTraction, Scaling, Growth, Pre-IPO","AI, Fintech, SaaS, DeepTech, D2C, ClimateTech, Sustainability",Sector-agnostic,"SaaS, D2C, DeepTech, ClimateTech",₹41.5 L – ₹2.07 Cr INR,"Toronto, Ontario"
DIY Lithium,Incubator / Accelerator,"Idea or Patent, Prototype, EarlyTraction, Scaling",,Sector-agnostic,"Incubation, Startup Acceleration",₹16.6 L – ₹1.66 Cr INR,"New York, New York"
Axilor Ventures,Venture Capital,"Prototype, EarlyTraction","Enterprise Software, DeepTech, Fintech, HealthTech, Supply Chain, Agriculture Tech, ClimateTech","Enterprise SaaS, B2B Commerce, Fintech, HealthTech, AgriTech, ClimateTech",,,"Bangalore, Karnataka"
Chiratae Ventures,Venture Capital,EarlyTraction,"Consumer Tech, Fintech, HealthTech, SaaS, DeepTech, ClimateTech, SpaceTech","Enterprise SaaS, B2B Commerce, AI/ML, FinTech Platforms, HealthTech Platforms, ClimateTech Infrastructure",,,"Bangalore, Karnataka"
Cloud Capital,Venture Capital,"Idea or Patent, Prototype, EarlyTraction, Scaling","SaaS, Fintech, HealthTech, Web3, Cloud Infrastructure","Enterprise SaaS, B2B Commerce, AI/ML, FinTech Platforms, HealthTech Platforms, Cloud Infrastructure",,₹41.5 L – ₹2.07 Cr INR,"Delhi, Delhi"
